181,소호정,"서울특별시 서초구 논현로 27, (양재동,(1,2층))",분식,,
182,사랑채,"서울특별시 서초구 언남길 15-6, (양재동,1층)",한식,,
183,초원복집,"서울특별시 서초구 서초대로46길 16, 1층 (서초동)",복어취급,,
184,신박사 콩사랑,"서울특별시 서초구 반포대로23길 30, 1층 (서초동)",한식,,
185,디오디아(DIODIA),"서울특별시 서초구 강남대로 213, 5층 (양재동, 스포타임)",뷔페식,,
186,부일갈비,"서울특별시 서초구 서초중앙로2길 42, 101호 (서초동)",한식,,
187,유라 한정식,"서울특별시 서초구 원터길 22, 1층 (원지동)",한식,,
188,수미관,"서울특별시 서초구 서초중앙로2길 38, 1층 (서초동)",한식,,
189,청정해참치,"서울특별시 서초구 강남대로 221, (양재동,환승주차장 201호)",일식,,
190,순남시래기,"서울특별시 서초구 강남대로39길 15-10, 지하1층 103-1호 (서초동, 한라비발디스튜디오193)",한식,,
191,부안애서2,"서울특별시 서초구 남부순환로347길 101, 1층 103호 (서초동)",한식,,
192,전주가,"서울특별시 서초구 법원로1길 1, 서호빌딩 지하1층 103호 (서초동)",한식,,
193,강남역 파스타,"서울특별시 서초구 서초대로73길 24, (서초동)",경양식,,
194,청정횟집,"서울특별시 서초구 남부순환로350길 75, 2층 (양재동)",한식,,
195,더하누,"서울특별시 서초구 서초대로74길 49, 101,102,109,111,112,113,114호 (서초동, 아루누보씨티2)",한식,,
196,조선면옥,"서울특별시 서초구 원터2길 2, (원지동,2층)",한식,,
197,모랑 강남점,"서울특별시 서초구 강남대로 359, 212호 (서초동, 대우도씨에빛2)",한식,,
198,김대감봉평메밀촌,"서울특별시 서초구 방배중앙로 161, 2층 (방배동)",한식,,
199,주미요,"서울특별시 서초구 사평대로18길 5, 위너스빌 1층 (반포동)",중국식,,
200,(주)톰볼라,"서울특별시 서초구 서래로7길 16, 1층 101호 (반포동)",경양식,,
201,이모 전주콩나물 국밥,"서울특별시 서초구 강남대로99길 9, 2층 (잠원동)",중국식,,
202,낙원곱창 사당역점,"서울특별시 서초구 방배천로2길 12, 1층 (방배동)",한식,,
203,소담채,"서울특별시 서초구 원터6길 5, (원지동,지하1층, 1층, 2층)",한식,,
204,매일향,"서울특별시 서초구 동광로 67, 1층 (방배동)",중국식,,
205,행복밥상,"서울특별시 서초구 마방로10길 18-15, 극동빌딩 1층 2호 (양재동)",한식,,
206,CARNE BRASIL GRILL (까르니 브라질 그릴),"서울특별시 서초구 방배로 83-9, 5층 (방배동)",경양식,,
207,돼지띠식당 서초점,"서울특별시 서초구 효령로 428, (서초동)",한식,,
208,해우담 서초본점,"서울특별시 서초구 강남대로 349, 지하1층 (서초동, 우남빌딩)",한식,,
209,디토,"서울특별시 서초구 명달로 94, (주)삼성출판사 사옥 1층 (서초동)",경양식,,
210,홍.낙.제,"서울특별시 서초구 서초중앙로26길 17, (서초동,1층)",한식,,
211,한우플러스,"서울특별시 서초구 서초대로46길 109, 2층 (서초동, 지산빌딩)",경양식,,
212,피노,"서울특별시 서초구 신흥말길 84, 1층 (내곡동)",한식,,
213,한촌설렁탕 사당역점,"서울특별시 서초구 방배천로 36, 삼남빌딩 1층 (방배동)",한식,,
214,(주)이춘복스시강남,"서울특별시 서초구 강남대로61길 13, 1층 2층 (서초동)",일식,,
215,하우스(HOUSE),"서울특별시 서초구 효령로4길 7, (방배동)",경양식,,
216,동신참치양재직영점,"서울특별시 서초구 강남대로 213, 지하1층 (양재동)",일식,,
217,The Park(뷔페식당),"서울특별시 서초구 바우뫼로12길 70, 2층 (양재동, 더케이서울호텔)",경양식,,
218,목우촌마을 청계산점,"서울특별시 서초구 원터길 20, 1층 (원지동)",한식,,
219,자인뭉티기,"서울특별시 서초구 강남대로37길 24-7, 1층 (서초동)",한식,,
220,일품헌,"서울특별시 서초구 남부순환로 2634-27, 가동 1층,2층 (양재동, 성원빌딩)",중국식,,
221,빛고을으뜸추어탕,"서울특별시 서초구 서초중앙로26길 13, 1층 (서초동)",한식,,
222,여진족,"서울특별시 서초구 방배천로4안길 12, 1층, 지하1층 (방배동)",한식,,
223,신의주찹쌀순대&숯불갈비,"서울특별시 서초구 방배천로6길 3-12, (방배동,(1층))",한식,,
224,델리세,"서울특별시 서초구 동광로 106, (방배동)",까페,,
225,장수원,"서울특별시 서초구 방배중앙로 153, 지하1층,1층,2층 (방배동)",한식,,
226,원당감자탕,"서울특별시 서초구 방배천로4길 9, 2층 3층 (방배동)",한식,,
227,두껍삼 강남직영점,"서울특별시 서초구 서초대로78길 44, 1층 (서초동)",한식,,
228,임금님밥상,"서울특별시 서초구 동광로11길 97, A동 1층 (방배동)",한식,,
229,육갑식당,"서울특별시 서초구 강남대로47길 20, (서초동)",한식,,
230,어랑 생선밥상,"서울특별시 서초구 사평대로55길 21-2, 1층 (반포동)",한식,,
231,미방,"서울특별시 서초구 방배중앙로 156, 1층 (방배동)",한식,,
232,황태마을,"서울특별시 서초구 바우뫼로2길 68, (우면동)",한식,,
233,리향,"서울특별시 서초구 반포대로28길 15, 2층 (서초동)",중국식,,
234,서울집,"서울특별시 서초구 서운로 220, 1층 5호,6호 (서초동, 대지프라자)",한식,,
235,육갑식당2,"서울특별시 서초구 서래로 33, 2층 (반포동)",한식,,
236,됐소 강남,"서울특별시 서초구 서초대로78길 46, 2층, 3층 (서초동)",한식,,
237,도쿄하나 사당점,"서울특별시 서초구 방배천로 11, 3층 301호내 2호 (방배동, SK리더스뷰)",일식,,
238,da Pitta(다 피타),"서울특별시 서초구 효령로 202, 1층 (서초동)",경양식,,
239,춘향골 추어탕,"서울특별시 서초구 서운로11길 10, 1층 (서초동)",한식,,
240,오동도 산아나고 숯불구이,"서울특별시 서초구 서초대로 3-4, 103호, 103-1호 (방배동, 방배디오슈페리움1)",한식,,
241,영주축협 한우프라자 청계산역점,"서울특별시 서초구 청계산로 197, 4층, 5층 (신원동)",한식,,
242,다피타(da pitta),"서울특별시 서초구 반포대로23길 32, 1층 101호 (서초동)",경양식,,
243,포메인서초점,"서울특별시 서초구 반포대로 104, 1층 (서초동)",한식,,
244,삼육가 사당역1호점,"서울특별시 서초구 방배천로 10, 1층 (방배동)",한식,,
245,울돌목 가는길,"서울특별시 서초구 서초대로40길 41, 지하1층 (서초동)",한식,,
246,우밀면옥 교대점,"서울특별시 서초구 법원로2길 15, 1층 104호 (서초동, 길도 BD )",한식,,
247,방배본가면옥,"서울특별시 서초구 방배로 41, 방배홈스텔 1층 102호 (방배동)",한식,,
248,효소원 순두부와 청국장 그리고 전,"서울특별시 서초구 효령로34길 12, 1층 (방배동)",한식,,
